seq,timestamp_pc_us,timestamp_pc_iso,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_acc,j2_acc,j3_acc,j4_acc,j5_acc,j6_acc,command_sent
0,1768258617340210,2026-01-12T22:56:57.340214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,"<0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000>"
1,1768258617390479,2026-01-12T22:56:57.390484,2.3049096066504287e-08,0.0046519001446231265,-0.0057282286101480034,-2.7447782373202625e-07,0.00999999999999999,-4.274476094345237e-07,4.609819213300851e-07,0.0930380028924624,-0.11456457220295992,-5.489556474640518e-06,0.19999999999999954,-8.548952188690463e-06,4.6098192132999475e-06,0.930380028924436,-1.1456457220293745,-5.4895564746393715e-05,1.9999999999995837,-8.548952188688784e-05,"<1,0.0000,0.0047,-0.0057,-0.0000,0.0100,-0.0000>"
2,1768258617440775,2026-01-12T22:56:57.440779,9.219638426601688e-08,0.018607600578492454,-0.022912914440591948,-1.097911294928102e-06,0.03999999999999985,-1.70979043773809e-06,9.219638426601624e-07,0.18607600578492323,-0.2291291444059179,-1.0979112949280943e-05,0.3999999999999957,-1.709790437738078e-05,4.609819213296308e-06,0.9303800289236948,-1.1456457220284568,-5.489556474635e-05,1.9999999999980016,-8.548952188682042e-05,"<2,0.0000,0.0186,-0.0229,-0.0000,0.0400,-0.0000>"
3,1768258617491068,2026-01-12T22:56:57.491072,2.0744171965965414e-07,0.04186707204921509,-0.051554021470697556,-2.4702986875982254e-06,0.08999993711732372,-3.847025797005752e-06,1.3829434562551566e-06,0.2791135429171158,-0.3436931430838192,-1.6468641942492096e-05,0.5999989987741405,-2.5646813768911433e-05,4.6098192132885626e-06,0.9303800289221457,-1.1456457220264773,-5.4895564746258414e-05,1.9999999999945521,-8.548952188667206e-05,"<3,0.0000,0.0419,-0.0516,-0.0000,0.0900,-0.0000>"
4,1768258617541352,2026-01-12T22:56:57.541355,3.6878506356395723e-07,0.07443030674947455,-0.09165154008673874,-4.391639541084349e-06,0.1599997945689018,-6.839152969849203e-06,1.8439238602381018e-06,0.37215123956991664,-0.45825733819124054,-2.195818034795804e-05,0.7999983404632304,-3.4195737818259424e-05,4.6098192133466936e-06,0.9303800289340455,-1.145645722041082,-5.489556474696023e-05,2.0000000000201044,-8.548952188776298e-05,"<4,0.0000,0.0744,-0.0917,-0.0000,0.1600,-0.0000>"
5,1768258617591669,2026-01-12T22:56:57.591674,5.762263924339239e-07,0.11629729992728408,-0.14320546443724286,-6.8619335750032e-06,0.24999956213958197,-1.0686171519624207e-05,2.3049032351082226e-06,0.46518872852129245,-0.5728212775405397,-2.7447706498338236e-05,0.9999972356650384,-4.2744642782615304e-05,4.609819213485511e-06,0.9303800289621328,-1.1456457220757108,-5.4895564748611586e-05,2.0000000000803877,-8.548952189034369e-05,"<5,0.0000,0.1163,-0.1432,-0.0000,0.2500,-0.0000>"
6,1768258617641968,2026-01-12T22:56:57.642000,8.297657838082932e-07,0.16746806723195462,-0.20621581379236362,-9.881181712716996e-06,0.3599992734700498,-1.5388082884293825e-05,2.7658841048675057e-06,0.5582265191797326,-0.687385588404055,-3.2937250450454477e-05,1.1999967794342177,-5.129357546982839e-05,4.609819213384896e-06,0.9303800289413755,-1.1456457220504166,-5.489556474740369e-05,2.000000000036407,-8.548952188846056e-05,"<6,0.0000,0.1675,-0.2062,-0.0000,0.3600,-0.0000>"
7,1768258617692325,2026-01-12T22:56:57.692331,1.1294032033447598e-06,0.2279426017323261,-0.280682579617251,-1.3449383545263867e-05,0.48999891366067283,-2.094488642697684e-05,3.226864342233272e-06,0.6512641822049038,-0.8019497421032892,-3.842678687177666e-05,1.3999960488353635,-5.984249642924551e-05,4.609819213491729e-06,0.9303800289630831,-1.1456457220770029,-5.489556474868415e-05,2.000000000082847,-8.548952189044726e-05,"<7,0.0000,0.2279,-0.2807,-0.0000,0.4900,-0.0000>"
8,1768258617742629,2026-01-12T22:56:57.742634,1.4751386305129873e-06,0.2977208992848488,-0.366605756809646,-1.756653882816039e-05,0.6399984738042316,-2.7356581766936265e-05,3.687844183502106e-06,0.7443017652875292,-0.9165137973633575,-4.3916318576218626e-05,1.5999951463872781,-6.839141004300838e-05,4.609819213434886e-06,0.9303800289514743,-1.1456457220627103,-5.489556474799977e-05,2.000000000057992,-8.548952188939662e-05,"<8,0.0000,0.2977,-0.3666,-0.0000,0.6400,-0.0000>"
9,1768258617792972,2026-01-12T22:56:57.792978,1.8669721071394528e-06,0.376802968331181,-0.4639853557643867,-2.2232648059492924e-05,0.8099979720474146,-3.462316967984798e-05,4.148824866776245e-06,0.8373395183084745,-1.0310780618810431,-4.940586030759541e-05,1.7999946092486723,-7.694033927183763e-05,4.609819213550429e-06,0.9303800289749928,-1.1456457220915819,-5.4895564749374085e-05,2.0000000001081495,-8.548952189153207e-05,"<9,0.0000,0.3768,-0.4640,-0.0000,0.8100,-0.0000>"
