corner_index,x_pixel,y_pixel
0,259,104
1,296,104
2,332,105
3,369,105
4,406,105
5,443,106
6,480,106
7,516,106
8,553,106
9,258,141
10,295,141
11,332,141
12,369,142
13,406,142
14,442,142
15,479,142
16,516,143
17,553,143
18,258,177
19,295,177
20,332,178
21,369,178
22,405,178
23,442,179
24,479,179
25,516,179
26,553,179
27,257,214
28,294,214
29,331,214
30,368,215
31,405,215
32,442,215
33,479,216
34,515,216
35,552,216
36,256,251
37,293,251
38,330,251
39,368,251
40,404,252
41,441,252
42,478,252
43,515,253
44,552,253
45,255,287
46,293,288
47,330,288
48,367,288
49,404,288
50,441,289
51,478,289
52,515,290
53,552,290
54,255,324
55,292,325
56,329,325
57,366,325
58,403,325
59,440,326
60,477,326
61,514,327
62,552,327
63,254,361
64,291,362
65,328,362
66,366,362
67,403,362
68,440,363
69,477,363
70,514,364
71,551,364
72,253,399
73,290,399
74,328,399
75,365,399
76,402,400
77,439,400
78,477,401
79,514,401
80,551,401
81,252,436
82,289,436
83,327,437
84,364,437
85,402,437
86,439,438
87,476,438
88,514,439
89,551,439
90,251,474
91,289,474
92,326,474
93,364,475
94,401,475
95,438,475
96,476,476
97,513,476
98,551,477
