corner_index,x_pixel,y_pixel
0,555,475
1,517,475
2,480,475
3,442,475
4,405,476
5,367,476
6,330,476
7,292,477
8,255,477
9,554,438
10,517,438
11,479,438
12,442,438
13,405,438
14,368,438
15,330,438
16,293,439
17,255,439
18,554,400
19,516,400
20,479,400
21,442,400
22,405,400
23,368,401
24,330,401
25,293,401
26,256,402
27,553,362
28,516,363
29,479,363
30,442,363
31,405,363
32,368,363
33,331,364
34,293,364
35,256,364
36,553,325
37,516,325
38,479,326
39,442,326
40,405,326
41,368,326
42,331,327
43,294,327
44,256,327
45,553,288
46,516,288
47,479,288
48,442,289
49,405,289
50,368,289
51,331,290
52,294,290
53,257,290
54,552,251
55,515,251
56,479,252
57,442,252
58,405,252
59,368,253
60,331,253
61,294,253
62,257,253
63,552,214
64,515,215
65,478,215
66,441,215
67,405,216
68,368,216
69,331,216
70,294,217
71,257,217
72,552,178
73,515,178
74,478,178
75,441,179
76,405,179
77,368,179
78,331,180
79,294,180
80,257,180
81,551,141
82,514,142
83,478,142
84,441,142
85,404,143
86,368,143
87,331,143
88,294,144
89,257,144
90,551,104
91,514,105
92,478,105
93,441,106
94,404,106
95,368,107
96,331,107
97,294,107
98,258,108
