corner_index,x_pixel,y_pixel
0,552,458
1,515,458
2,477,459
3,440,459
4,402,460
5,364,461
6,326,462
7,288,463
8,249,464
9,551,420
10,514,420
11,477,421
12,439,422
13,402,422
14,364,423
15,326,424
16,288,425
17,249,426
18,551,382
19,514,383
20,477,384
21,439,384
22,402,385
23,364,386
24,326,386
25,288,387
26,249,388
27,550,345
28,513,346
29,476,346
30,439,347
31,401,347
32,364,348
33,326,349
34,288,349
35,249,350
36,550,308
37,513,309
38,476,309
39,438,310
40,401,310
41,364,311
42,326,311
43,288,312
44,249,313
45,549,271
46,512,272
47,475,272
48,438,273
49,401,273
50,363,274
51,326,274
52,288,275
53,249,275
54,549,235
55,512,235
56,475,235
57,438,236
58,400,236
59,363,237
60,325,237
61,287,237
62,249,238
63,548,198
64,511,198
65,474,199
66,437,199
67,400,199
68,363,200
69,325,200
70,287,200
71,249,201
72,547,161
73,511,162
74,474,162
75,437,162
76,400,162
77,362,163
78,325,163
79,287,163
80,249,163
81,547,125
82,510,125
83,473,125
84,436,125
85,399,126
86,362,126
87,324,126
88,287,126
89,249,126
90,546,88
91,510,88
92,473,88
93,436,89
94,399,89
95,361,89
96,324,89
97,287,89
98,249,89
