corner_index,x_pixel,y_pixel
0,251,474
1,252,436
2,253,399
3,254,361
4,255,324
5,255,287
6,256,251
7,257,214
8,258,177
9,258,141
10,259,104
11,289,474
12,289,436
13,290,399
14,291,362
15,292,325
16,293,288
17,293,251
18,294,214
19,295,177
20,295,141
21,296,104
22,326,474
23,327,437
24,328,399
25,328,362
26,329,325
27,330,288
28,330,251
29,331,214
30,332,178
31,332,141
32,332,105
33,364,475
34,364,437
35,365,399
36,366,362
37,366,325
38,367,288
39,368,251
40,368,215
41,369,178
42,369,142
43,369,105
44,401,475
45,402,437
46,402,400
47,403,362
48,403,325
49,404,288
50,404,252
51,405,215
52,405,178
53,406,142
54,406,105
55,438,475
56,439,438
57,439,400
58,440,363
59,440,326
60,441,289
61,441,252
62,442,215
63,442,179
64,442,142
65,443,106
66,476,476
67,476,438
68,477,401
69,477,363
70,477,326
71,478,289
72,478,252
73,479,216
74,479,179
75,479,142
76,480,106
77,513,476
78,514,439
79,514,401
80,514,364
81,514,327
82,515,290
83,515,253
84,515,216
85,516,179
86,516,143
87,516,106
88,551,477
89,551,439
90,551,401
91,551,364
92,552,327
93,552,290
94,552,253
95,552,216
96,553,179
97,553,143
98,553,106
