corner_index,x_pixel,y_pixel
0,193,466
1,193,427
2,193,389
3,193,351
4,193,313
5,193,275
6,193,238
7,193,200
8,193,163
9,193,125
10,193,88
11,232,465
12,232,427
13,232,388
14,232,350
15,232,312
16,232,275
17,232,237
18,232,200
19,232,162
20,231,125
21,231,88
22,270,464
23,270,426
24,270,388
25,270,350
26,270,312
27,270,274
28,270,237
29,270,199
30,270,162
31,269,125
32,269,88
33,309,463
34,309,425
35,309,387
36,309,349
37,309,311
38,308,274
39,308,236
40,308,199
41,308,162
42,307,125
43,307,88
44,347,462
45,347,424
46,347,386
47,347,348
48,347,311
49,346,273
50,346,236
51,346,199
52,345,162
53,345,125
54,345,87
55,385,461
56,385,423
57,385,385
58,385,348
59,384,310
60,384,273
61,384,236
62,383,198
63,383,161
64,383,124
65,382,87
66,423,460
67,423,422
68,423,384
69,422,347
70,422,310
71,422,272
72,421,235
73,421,198
74,421,161
75,420,124
76,419,87
77,461,459
78,461,422
79,460,384
80,460,346
81,459,309
82,459,272
83,459,235
84,458,198
85,458,161
86,457,124
87,457,87
88,499,459
89,498,421
90,498,383
91,497,346
92,497,309
93,496,271
94,496,234
95,495,197
96,495,161
97,494,124
98,494,87
