corner_index,x_pixel,y_pixel
0,99,467
1,99,431
2,99,395
3,100,359
4,100,324
5,100,288
6,100,253
7,101,217
8,101,182
9,101,147
10,101,112
11,136,466
12,136,430
13,136,395
14,136,359
15,136,323
16,136,288
17,136,252
18,137,217
19,137,182
20,137,147
21,137,112
22,172,466
23,172,430
24,172,394
25,172,358
26,172,323
27,173,287
28,173,252
29,173,217
30,173,182
31,173,147
32,173,112
33,209,465
34,209,429
35,209,393
36,209,357
37,209,322
38,209,287
39,209,251
40,209,216
41,209,181
42,209,146
43,209,111
44,245,464
45,245,428
46,245,392
47,245,357
48,245,321
49,245,286
50,245,251
51,245,216
52,245,181
53,245,146
54,244,111
55,281,463
56,281,427
57,281,391
58,281,356
59,281,321
60,281,285
61,281,250
62,281,216
63,280,181
64,280,146
65,280,111
66,317,462
67,317,426
68,317,391
69,317,355
70,317,320
71,317,285
72,317,250
73,316,215
74,316,180
75,316,146
76,316,111
77,353,461
78,353,425
79,353,390
80,353,355
81,353,320
82,352,285
83,352,250
84,352,215
85,351,180
86,351,146
87,351,111
88,389,460
89,388,425
90,388,389
91,388,354
92,388,319
93,387,284
94,387,249
95,387,215
96,387,180
97,386,146
98,386,111
