epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0649,0.72181,0.96821,2.74346,0.97846,0,0.00606,1,0.84534,0.62894,0.00606,1,0.84229,0.67044,0.33288,0.65835,5.74859,0.55113,0,0.00028,0.00028,0.00028
2,52.5517,0.66583,0.69556,1.7097,0.92632,0,0.00606,1,0.92459,0.77102,0.00606,1,0.84142,0.62972,0.3591,1.05542,5.70843,0.55965,0,0.000574258,0.000574258,0.000574258
3,61.665,0.67027,0.6036,1.22919,0.94293,0,0.94528,0.43193,0.73774,0.49574,0.88991,0.40419,0.66883,0.41268,0.55019,2.25797,5.78552,0.66857,0,0.000862576,0.000862576,0.000862576
4,71.7154,0.75963,0.64752,1.28315,0.96265,0,0.84184,0.73333,0.80918,0.59579,0.77591,0.68333,0.72445,0.45033,0.59901,3.99252,5.73677,0.69307,0,0.00114495,0.00114495,0.00114495
5,81.5446,0.73764,0.60671,1.16793,0.95139,0,0.85637,0.84468,0.90261,0.65104,0.84795,0.84167,0.89735,0.69713,0.57833,0.98599,4.68032,0.70098,0,0.00142139,0.00142139,0.00142139
6,90.8943,0.77205,0.53572,1.10994,0.97076,0,0.9017,0.91727,0.93079,0.71019,0.85296,0.87017,0.8888,0.61053,0.56876,2.04295,5.60615,0.68817,0,0.00169189,0.00169189,0.00169189
7,99.5458,0.73054,0.52605,1.04744,0.95435,0,0.83438,0.8,0.82767,0.63254,0.817,0.78333,0.79679,0.6706,0.55688,1.03263,11.3679,0.6617,0,0.0018812,0.0018812,0.0018812
8,109.502,0.75504,0.54692,1.0255,0.95039,0,0.69616,0.36667,0.45719,0.31601,0.66541,0.33149,0.42087,0.26605,0.77187,2.67427,9.0006,0.80905,0,0.0018614,0.0018614,0.0018614
9,119.423,0.74542,0.50803,0.98914,0.9633,0,0.87542,0.68333,0.78921,0.58292,0.85282,0.66667,0.76453,0.52284,0.57979,2.13143,8.92752,0.65566,0,0.0018416,0.0018416,0.0018416
10,129.273,0.66232,0.42495,0.92463,0.93166,0,0.82397,0.78013,0.80893,0.61047,0.815,0.77095,0.79427,0.61812,0.55745,1.08186,8.80698,0.66469,0,0.0018218,0.0018218,0.0018218
11,138.074,0.72419,0.54713,0.93034,0.94939,0,0.93872,0.9,0.96243,0.75729,0.92017,0.88333,0.94699,0.81203,0.48398,1.08643,9.62221,0.62349,0,0.001802,0.001802,0.001802
12,147.633,0.70262,0.50428,0.85831,0.9462,0,0.87034,0.95093,0.95414,0.75514,0.87034,0.95093,0.95606,0.81366,0.47714,0.5015,4.88335,0.60647,0,0.0017822,0.0017822,0.0017822
13,157.208,0.6379,0.42445,0.77189,0.91467,0,0.90441,0.98333,0.9649,0.78,0.90441,0.98333,0.96526,0.81678,0.44935,0.59315,2.14099,0.60375,0,0.0017624,0.0017624,0.0017624
14,165.785,0.69776,0.45986,0.81482,0.94032,0,0.88124,0.95833,0.96708,0.77543,0.88124,0.95833,0.96708,0.82198,0.44255,0.33971,2.59478,0.58548,0,0.0017426,0.0017426,0.0017426
15,175.788,0.59151,0.38282,0.71823,0.90721,0,0.91117,0.94027,0.95208,0.79514,0.91117,0.94027,0.95208,0.82188,0.41794,0.3791,4.19092,0.57333,0,0.0017228,0.0017228,0.0017228
16,186.3,0.61268,0.3676,0.71917,0.91553,0,0.88823,0.96667,0.96966,0.80283,0.87201,0.95,0.94966,0.82478,0.4291,0.47005,1.40265,0.58553,0,0.001703,0.001703,0.001703
