epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.559,1.4272,3.21307,1.13983,0.65222,0.64381,0.70573,0.40074,1.33751,2.71402,0.95272,0.000657277,0.000657277,0.000657277
2,134.519,1.35853,2.10556,1.11264,0.7773,0.68657,0.77529,0.48973,1.29138,2.29587,1.11111,0.00130522,0.00130522,0.00130522
3,201.085,1.34729,2.11376,1.13255,0.85703,0.70149,0.85499,0.4956,1.42648,1.96784,1.25183,0.0019343,0.0019343,0.0019343
4,267.604,1.34467,2.04413,1.22397,0.8064,0.74627,0.85084,0.50523,1.35316,2.01181,1.23967,0.00191514,0.00191514,0.00191514
5,333.905,1.40397,1.87808,1.2065,0.7462,0.80597,0.84585,0.50034,1.32431,1.67405,1.20562,0.00188686,0.00188686,0.00188686
6,400.283,1.34409,1.66831,1.1862,0.85433,0.89552,0.91957,0.52033,1.3962,1.64685,1.22704,0.00185857,0.00185857,0.00185857
7,466.765,1.29768,1.57741,1.15702,0.86722,0.76119,0.89792,0.5469,1.30438,1.63059,1.21385,0.00183029,0.00183029,0.00183029
8,533.148,1.31741,1.61329,1.15792,0.79702,0.82047,0.8705,0.52989,1.32742,1.60499,1.20263,0.001802,0.001802,0.001802
9,599.379,1.25573,1.45477,1.15046,0.87672,0.84915,0.90481,0.56218,1.2996,1.43656,1.17751,0.00177371,0.00177371,0.00177371
10,665.757,1.28444,1.29754,1.15183,0.83897,0.83582,0.89813,0.56893,1.27576,1.63925,1.24756,0.00174543,0.00174543,0.00174543
11,732.197,1.26166,1.22086,1.15997,0.87741,0.8806,0.92394,0.56453,1.3019,1.37012,1.20553,0.00171714,0.00171714,0.00171714
12,798.611,1.22513,1.23624,1.11192,0.84422,0.80597,0.87939,0.57769,1.24829,1.38715,1.1715,0.00168886,0.00168886,0.00168886
13,864.997,1.22796,1.26133,1.15515,0.80944,0.77612,0.81592,0.52093,1.24974,1.50236,1.19177,0.00166057,0.00166057,0.00166057
14,931.479,1.23499,1.15864,1.14328,0.88856,0.8331,0.90409,0.58834,1.21869,1.3514,1.20634,0.00163229,0.00163229,0.00163229
15,997.694,1.23399,1.16838,1.17386,0.93599,0.87298,0.9412,0.59673,1.23044,1.23841,1.18725,0.001604,0.001604,0.001604
16,1064.17,1.2895,1.14733,1.16906,0.85728,0.89552,0.92001,0.60075,1.19438,1.1864,1.16129,0.00157571,0.00157571,0.00157571
17,1130.42,1.24533,1.28313,1.16326,0.94109,0.95371,0.95163,0.59358,1.27882,1.13249,1.2204,0.00154743,0.00154743,0.00154743
18,1196.59,1.1692,1.12403,1.12291,0.87676,0.89552,0.92543,0.6166,1.22853,1.12505,1.17624,0.00151914,0.00151914,0.00151914
19,1266.18,1.18675,1.08805,1.11889,0.74617,0.92537,0.89609,0.57069,1.33483,1.20813,1.23027,0.00149086,0.00149086,0.00149086
20,1335.13,1.16906,0.97007,1.12217,0.83618,0.91424,0.94591,0.59491,1.3078,1.15805,1.19374,0.00146257,0.00146257,0.00146257
21,1402.67,1.15591,1.0166,1.11025,0.91513,0.96567,0.97458,0.61566,1.31829,1.03136,1.20114,0.00143429,0.00143429,0.00143429
22,1470.18,1.15978,0.96278,1.11524,0.9442,0.89552,0.95414,0.63065,1.25142,1.02473,1.21184,0.001406,0.001406,0.001406
23,1541.34,1.22247,0.94731,1.14428,0.83555,0.8806,0.89767,0.54984,1.29885,1.11964,1.2634,0.00137771,0.00137771,0.00137771
24,1609.08,1.13537,0.92305,1.09425,0.92118,0.87228,0.94393,0.5856,1.24883,1.03317,1.19848,0.00134943,0.00134943,0.00134943
25,1676.54,1.12859,0.87183,1.07594,0.90843,0.9403,0.96688,0.64407,1.17497,0.90757,1.15668,0.00132114,0.00132114,0.00132114
26,1744.14,1.15283,0.97475,1.08907,0.89008,0.96691,0.96806,0.62975,1.25547,0.93623,1.17706,0.00129286,0.00129286,0.00129286
27,1811.86,1.14575,0.86679,1.10284,0.89632,0.90328,0.95432,0.65086,1.19752,0.96912,1.15713,0.00126457,0.00126457,0.00126457
28,1879.54,1.15446,0.91242,1.12154,0.92318,0.86567,0.94823,0.61839,1.20399,0.9591,1.16912,0.00123629,0.00123629,0.00123629
29,1947.06,1.1393,0.82992,1.09456,0.88568,0.92509,0.94822,0.63014,1.23362,0.94373,1.17469,0.001208,0.001208,0.001208
30,2014.58,1.14034,0.92093,1.11023,0.88285,0.8806,0.95313,0.63399,1.24003,0.94293,1.20494,0.00117971,0.00117971,0.00117971
31,2082.01,1.08162,0.8525,1.05988,0.86034,0.89552,0.94234,0.63644,1.18501,0.92596,1.15391,0.00115143,0.00115143,0.00115143
32,2149.48,1.19321,0.83524,1.10532,0.86275,0.91045,0.92457,0.60277,1.30251,0.97191,1.21178,0.00112314,0.00112314,0.00112314
