epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.923,0.64393,2.4853,1.00058,0.54021,0.77941,0.62117,0.47842,0.61053,2.6084,1.13004,0.000662252,0.000662252,0.000662252
2,245.166,0.72239,2.57956,1.03414,0.44569,0.52941,0.47684,0.30783,0.74221,3.69415,1.20846,0.00131576,0.00131576,0.00131576
3,366.654,0.83111,2.6617,1.09234,0.49838,0.52603,0.50048,0.21711,1.22246,4.04221,1.85023,0.00195607,0.00195607,0.00195607
4,488.049,0.91723,2.45084,1.12603,0.53711,0.45588,0.46803,0.29666,1.09374,2.91798,1.41822,0.0019406,0.0019406,0.0019406
5,608.841,0.97318,2.20664,1.15195,0.61235,0.64706,0.64254,0.4353,0.87909,2.93044,1.37612,0.0019208,0.0019208,0.0019208
6,729.225,0.88523,2.30242,1.14964,0.68278,0.72806,0.73653,0.5255,0.82477,2.46135,1.29189,0.001901,0.001901,0.001901
7,850.277,0.91427,1.75083,1.12889,0.59671,0.79412,0.70995,0.46084,0.85174,2.67521,1.29103,0.0018812,0.0018812,0.0018812
8,970.581,0.93923,1.94401,1.13865,0.7252,0.65977,0.78744,0.58687,0.77744,2.35943,1.23527,0.0018614,0.0018614,0.0018614
9,1091.89,0.86783,1.76489,1.10539,0.74719,0.69548,0.7682,0.62011,0.71029,1.85409,1.20164,0.0018416,0.0018416,0.0018416
10,1212.72,0.84477,1.55594,1.06488,0.74023,0.88235,0.87431,0.70716,0.67496,1.47564,1.10213,0.0018218,0.0018218,0.0018218
11,1333.22,0.78913,1.55799,1.05091,0.87091,0.82353,0.92182,0.72721,0.71674,1.45516,1.19544,0.001802,0.001802,0.001802
12,1454,0.74525,1.45494,1.03724,0.72404,0.77941,0.84468,0.61369,0.84395,1.55139,1.33222,0.0017822,0.0017822,0.0017822
13,1577.66,0.76964,1.40735,1.04317,0.73114,0.85294,0.87469,0.70595,0.64749,1.45867,1.13153,0.0017624,0.0017624,0.0017624
14,1697.72,0.72461,1.33823,1.00794,0.85226,0.76353,0.86241,0.69048,0.71777,1.37583,1.1917,0.0017426,0.0017426,0.0017426
15,1820.69,0.76603,1.26964,1.06185,0.81204,0.76243,0.88685,0.7078,0.64574,1.29634,1.07944,0.0017228,0.0017228,0.0017228
16,1943.47,0.69766,1.28155,0.99945,0.77865,0.87947,0.9019,0.70977,0.60331,1.48889,1.0591,0.001703,0.001703,0.001703
