epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.492,0.68287,2.09754,1.04809,0.50339,0.38596,0.41541,0.31845,0.63919,6.62852,1.00828,0.000662281,0.000662281,0.000662281
2,248.646,0.74574,2.01731,1.04878,0.51504,0.73684,0.51806,0.34978,0.72904,13.6067,1.16278,0.00131579,0.00131579,0.00131579
3,374.061,0.84701,1.89219,1.15681,0.50871,0.65403,0.52822,0.32646,1.05392,8.50933,1.57511,0.0019561,0.0019561,0.0019561
4,497.795,0.86648,2.07022,1.12481,0.45533,0.29825,0.38681,0.20524,0.91521,5.58727,1.32222,0.0019406,0.0019406,0.0019406
5,621.276,0.9133,1.89699,1.15518,0.43987,0.36842,0.43316,0.18108,1.4823,12.8556,1.92234,0.0019208,0.0019208,0.0019208
6,744.755,0.84129,1.71129,1.12507,0.51509,0.5591,0.49899,0.29551,0.95794,5.44017,1.31988,0.001901,0.001901,0.001901
7,868.203,0.80469,1.42689,1.06029,0.5753,0.64173,0.54814,0.37831,0.76998,10.6421,1.22417,0.0018812,0.0018812,0.0018812
8,991.513,0.80416,1.51834,1.06721,0.68991,0.7026,0.6954,0.43622,0.8596,4.86375,1.1705,0.0018614,0.0018614,0.0018614
9,1115.9,0.84579,1.35943,1.11224,0.76042,0.80702,0.82018,0.62641,0.65687,5.65695,1.04524,0.0018416,0.0018416,0.0018416
10,1239.62,0.7494,1.2479,1.02569,0.89224,0.77193,0.83376,0.65585,0.65571,3.09211,1.06644,0.0018218,0.0018218,0.0018218
11,1363.09,0.77283,1.12435,1.06229,0.79993,0.84211,0.84858,0.70525,0.62179,4.96438,0.99831,0.001802,0.001802,0.001802
12,1486.51,0.73706,1.23181,1.05652,0.87681,0.87719,0.91481,0.76797,0.58795,2.65784,1.00483,0.0017822,0.0017822,0.0017822
13,1609.78,0.70228,1.07059,1.03422,0.74576,0.87719,0.85193,0.73554,0.54381,2.74934,0.94106,0.0017624,0.0017624,0.0017624
14,1733.38,0.70246,1.03947,1.01066,0.7552,0.92982,0.89549,0.7641,0.5763,4.04549,1.00421,0.0017426,0.0017426,0.0017426
15,1856.68,0.68666,0.96832,1.0266,0.7886,0.92982,0.88777,0.74931,0.55208,4.84105,1.00578,0.0017228,0.0017228,0.0017228
16,1979.99,0.66195,0.92489,1.00364,0.89927,0.78318,0.87918,0.79453,0.50341,4.20651,0.91789,0.001703,0.001703,0.001703
17,2103.46,0.67161,0.90329,0.98165,0.81156,0.85965,0.86988,0.75364,0.4883,2.74771,0.90436,0.0016832,0.0016832,0.0016832
18,2227.21,0.59029,0.85686,0.96639,0.90358,0.89474,0.93281,0.8191,0.52637,2.87745,0.9233,0.0016634,0.0016634,0.0016634
19,2351.39,0.61341,0.86533,0.96605,0.86937,0.84211,0.88174,0.78532,0.47167,3.6971,0.9177,0.0016436,0.0016436,0.0016436
20,2475.78,0.59718,0.81644,0.96874,0.84849,0.85965,0.89277,0.78175,0.46194,2.93223,0.864,0.0016238,0.0016238,0.0016238
21,2599.64,0.58066,0.77992,0.95149,0.92471,0.91228,0.95161,0.86658,0.43363,2.1933,0.84091,0.001604,0.001604,0.001604
22,2723.28,0.57376,0.78258,0.94871,0.94573,0.94737,0.95487,0.87584,0.41106,4.70715,0.82458,0.0015842,0.0015842,0.0015842
23,2847.28,0.585,0.75827,0.95803,0.96356,0.92772,0.95668,0.85633,0.41855,1.81164,0.83657,0.0015644,0.0015644,0.0015644
24,2970.95,0.58182,0.75826,0.98041,0.90042,0.95191,0.94802,0.85175,0.43924,4.31136,0.84432,0.0015446,0.0015446,0.0015446
25,3094.58,0.56373,0.7615,0.95638,0.93145,0.95368,0.95558,0.86708,0.45508,4.39415,0.86104,0.0015248,0.0015248,0.0015248
26,3218.13,0.56485,0.87253,0.94876,0.77921,0.77193,0.85836,0.76648,0.46318,1.64207,0.86471,0.001505,0.001505,0.001505
27,3341.38,0.55945,0.73874,0.95167,0.84708,0.91228,0.93883,0.85291,0.44381,2.00726,0.86106,0.0014852,0.0014852,0.0014852
