Frame,Drift_Error_cm,Status,GridX,GridY
0,23.7706,OUTLIER,0,0
1,23.6585,OUTLIER,0,0
2,23.4704,OUTLIER,0,0
3,23.3294,OUTLIER,0,0
4,23.4386,OUTLIER,0,0
5,23.5008,OUTLIER,0,0
6,23.5319,OUTLIER,0,0
7,23.7006,OUTLIER,0,0
8,23.9787,OUTLIER,0,0
9,23.9425,OUTLIER,0,0
10,24.0449,OUTLIER,0,0
11,23.3532,OUTLIER,0,0
12,23.0536,OUTLIER,0,0
13,22.5341,OUTLIER,0,0
14,22.7116,OUTLIER,0,0
15,22.8296,OUTLIER,0,0
16,22.9153,OUTLIER,0,0
17,23.1536,OUTLIER,0,0
18,23.2078,OUTLIER,0,0
19,23.3706,OUTLIER,0,0
20,23.4211,OUTLIER,0,0
21,24.8594,OUTLIER,0,0
22,24.8451,OUTLIER,0,0
23,24.6031,OUTLIER,0,0
24,24.396,OUTLIER,0,0
25,24.158,OUTLIER,0,0
26,23.8796,OUTLIER,0,0
27,23.4505,OUTLIER,0,0
28,23.8749,OUTLIER,0,0
29,24.1377,OUTLIER,0,0
30,24.2043,OUTLIER,0,0
31,14.6266,OUTLIER,0,0
32,14.6904,OUTLIER,0,0
33,14.6062,OUTLIER,0,0
34,14.5815,OUTLIER,0,0
35,14.6523,OUTLIER,0,0
36,14.7022,OUTLIER,0,0
37,14.3107,OUTLIER,0,0
38,14.2904,OUTLIER,0,0
39,14.1897,OUTLIER,0,0
40,15.2564,OUTLIER,0,0
41,15.2392,OUTLIER,0,0
42,15.9544,OUTLIER,0,0
43,16.4147,OUTLIER,0,0
44,16.7896,OUTLIER,0,0
45,17.5012,OUTLIER,0,0
46,17.3726,OUTLIER,0,0
47,16.3056,OUTLIER,0,0
48,16.3784,OUTLIER,0,0
49,15.93,OUTLIER,0,0
50,15.3402,OUTLIER,0,0
51,14.8612,OUTLIER,0,0
52,14.6952,OUTLIER,0,0
53,13.7861,OUTLIER,0,0
54,13.1519,OUTLIER,0,0
55,12.8249,OUTLIER,0,0
56,12.2863,OUTLIER,0,0
57,12.5241,OUTLIER,0,0
58,12.0036,OUTLIER,0,0
59,11.8949,OUTLIER,0,0
60,12.3303,OUTLIER,0,0
61,13.0113,OUTLIER,0,0
62,13.1824,OUTLIER,0,0
63,13.4774,OUTLIER,0,0
64,13.7949,OUTLIER,0,0
65,13.7907,OUTLIER,0,0
66,13.1563,OUTLIER,0,0
67,12.6151,OUTLIER,0,0
68,12.6586,OUTLIER,0,0
69,12.3891,OUTLIER,0,0
70,12.0128,OUTLIER,0,0
71,12.2743,OUTLIER,0,0
72,11.8112,OUTLIER,0,0
73,11.7626,OUTLIER,0,0
74,11.3913,OUTLIER,0,0
75,11.5538,OUTLIER,0,0
76,11.6687,OUTLIER,0,0
77,11.5707,OUTLIER,0,0
78,12.3341,OUTLIER,0,0
79,14.2746,OUTLIER,0,0
80,15.0393,OUTLIER,0,0
81,15.555,OUTLIER,0,0
82,15.0442,OUTLIER,0,0
83,14.4279,OUTLIER,0,0
84,13.4671,OUTLIER,0,0
85,12.9783,OUTLIER,0,0
86,12.3847,OUTLIER,0,0
87,12.2071,OUTLIER,0,0
88,12.2382,OUTLIER,0,0
89,12.1278,OUTLIER,0,0
90,12.152,OUTLIER,0,0
91,12.1343,OUTLIER,0,0
92,12.1055,OUTLIER,0,0
93,12.107,OUTLIER,0,0
94,12.3549,OUTLIER,0,0
95,12.5809,OUTLIER,0,0
96,12.7368,OUTLIER,0,0
97,13.1964,OUTLIER,0,0
98,13.1461,OUTLIER,0,0
99,12.8475,OUTLIER,0,0
100,12.9576,OUTLIER,0,0
101,13.2302,OUTLIER,0,0
102,12.4013,OUTLIER,0,0
103,12.8376,OUTLIER,0,0
104,12.897,OUTLIER,0,0
105,12.6795,OUTLIER,0,0
106,12.6297,OUTLIER,0,0
107,12.6273,OUTLIER,0,0
108,12.7527,OUTLIER,0,0
109,12.7562,OUTLIER,0,0
110,12.6534,OUTLIER,0,0
111,13.4227,OUTLIER,0,0
112,13.8384,OUTLIER,0,0
113,14.1121,OUTLIER,0,0
114,14.2721,OUTLIER,0,0
115,14.6153,OUTLIER,0,0
116,9.2189,OUTLIER,0,0
117,8.30221,OUTLIER,0,0
118,8.35719,OUTLIER,0,0
119,5.57484,OUTLIER,0,0
120,4.52815,OK,0,0
121,3.34635,OK,0,0
122,3.43731,OK,0,0
123,2.29875,OK,0,0
124,2.36631,OK,0,0
125,2.41534,OK,0,0
126,1.52417,OK,0,0
127,1.205,OK,0,0
128,1.65429,OK,0,0
129,3.22386,OK,0,0
130,2.98232,OK,0,0
131,4.02661,OK,0,0
132,4.72377,OK,0,0
133,4.8453,OK,0,0
134,6.72596,OUTLIER,0,0
135,6.28156,OUTLIER,0,0
136,5.60828,OUTLIER,0,0
137,4.3582,OK,0,0
138,4.9967,OK,0,0
139,4.65078,OK,0,0
140,5.13794,OUTLIER,0,0
141,3.47268,OK,0,0
142,1.27117,OK,0,0
143,2.67721,OK,0,0
144,8.0327,OUTLIER,0,0
145,6.20279,OUTLIER,0,0
146,1.53626,OK,0,0
147,4.46799,OK,0,0
148,5.37506,OUTLIER,0,0
149,4.96631,OK,0,0
150,6.39118,OUTLIER,0,0
151,7.65733,OUTLIER,0,0
152,9.331,OUTLIER,0,0
153,9.76534,OUTLIER,0,0
154,10.7749,OUTLIER,0,0
155,10.787,OUTLIER,0,0
156,12.23,OUTLIER,0,0
157,10.2226,OUTLIER,0,0
158,9.38391,OUTLIER,0,0
159,7.84242,OUTLIER,0,0
160,5.66261,OUTLIER,0,0
161,5.18896,OUTLIER,0,0
162,7.75389,OUTLIER,0,0
163,17.6308,OUTLIER,0,0
164,9.06845,OUTLIER,0,0
165,7.37893,OUTLIER,0,0
166,5.46779,OUTLIER,0,0
167,4.04805,OK,0,0
168,4.55033,OK,0,0
169,4.78408,OK,0,0
170,6.23814,OUTLIER,0,0
171,6.13465,OUTLIER,0,0
172,6.51116,OUTLIER,0,0
173,8.66306,OUTLIER,0,0
174,7.61553,OUTLIER,0,0
175,7.8328,OUTLIER,0,0
176,6.92597,OUTLIER,0,0
177,7.9488,OUTLIER,0,0
178,6.80641,OUTLIER,0,0
179,6.63531,OUTLIER,0,0
180,2.62908,OK,0,0
181,2.83429,OK,0,0
182,3.23699,OK,0,0
183,7.32516,OUTLIER,0,0
184,7.91391,OUTLIER,0,0
185,8.45797,OUTLIER,0,0
186,10.2415,OUTLIER,0,0
187,11.8534,OUTLIER,0,0
188,13.1161,OUTLIER,0,0
189,13.0238,OUTLIER,0,0
190,13.783,OUTLIER,0,0
191,13.7545,OUTLIER,0,0
192,12.7576,OUTLIER,0,0
193,11.8706,OUTLIER,0,0
194,10.1858,OUTLIER,0,0
195,9.96505,OUTLIER,0,0
196,6.4463,OUTLIER,0,0
197,6.77269,OUTLIER,0,0
198,4.62602,OK,0,0
199,5.68456,OUTLIER,0,0
200,6.43615,OUTLIER,0,0
201,8.36779,OUTLIER,0,0
202,7.92355,OUTLIER,0,0
