corner_index,x_pixel,y_pixel
0,82,477
1,82,456
2,82,436
3,82,416
4,82,395
5,82,375
6,82,354
7,83,334
8,83,313
9,83,293
10,83,273
11,103,477
12,103,456
13,103,436
14,103,415
15,103,395
16,103,374
17,103,354
18,103,334
19,104,313
20,104,293
21,104,273
22,123,477
23,123,456
24,123,436
25,123,415
26,123,395
27,124,374
28,124,354
29,124,334
30,124,313
31,124,293
32,124,273
33,143,477
34,143,456
35,143,436
36,143,415
37,144,395
38,144,374
39,144,354
40,144,334
41,144,313
42,145,293
43,145,272
44,163,477
45,164,456
46,164,436
47,164,415
48,164,395
49,164,374
50,165,354
51,165,333
52,165,313
53,165,293
54,165,272
55,184,477
56,184,456
57,184,436
58,184,415
59,185,395
60,185,374
61,185,354
62,185,333
63,185,313
64,185,293
65,186,272
66,204,477
67,204,456
68,205,436
69,205,415
70,205,394
71,205,374
72,205,354
73,206,333
74,206,313
75,206,293
76,206,272
77,225,477
78,225,456
79,225,435
80,225,415
81,225,394
82,225,374
83,226,353
84,226,333
85,226,313
86,226,293
87,227,272
88,245,477
89,245,456
90,245,436
91,245,415
92,245,394
93,245,374
94,246,353
95,246,333
96,246,313
97,247,292
98,247,272
