epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7579,1.04805,1.69527,3.03313,1.12317,0,0.00562,0.97414,0.35543,0.21537,0.00557,0.96552,0.39903,0.23784,0.83213,1.13832,2.83074,1.07458,0,0.0004,0.0004,0.0964
2,18.6048,0.93693,1.43543,2.95748,1.07543,0,0.00562,0.97414,0.45809,0.31645,0.00567,0.98276,0.45525,0.31905,0.59406,1.02879,2.75749,0.99722,0,0.00088218,0.00088218,0.0918822
3,25.4851,0.66895,0.98355,2.7312,0.95468,0,0.00562,0.97414,0.74586,0.61126,0.00567,0.98276,0.73877,0.58706,0.44044,0.92027,2.6346,0.88311,0,0.00134456,0.00134456,0.0873446
4,31.4472,0.58689,0.73325,2.215,0.8999,0,0.00572,0.99138,0.78916,0.67531,0.00567,0.98276,0.8142,0.68356,0.41179,0.67706,2.52667,0.86079,0,0.00178714,0.00178714,0.0827871
5,37.9736,0.62054,0.62408,1.53419,0.88001,0,0.92381,0.31365,0.88076,0.70504,0.92381,0.31365,0.89302,0.76406,0.52182,0.55541,2.20373,0.87641,0,0.00220992,0.00220992,0.0782099
6,43.9032,0.57707,0.55306,1.2489,0.86965,0,0.92071,0.50051,0.76536,0.69017,0.92071,0.50051,0.76763,0.67668,0.58053,1.08855,2.2729,0.93593,0,0.0026129,0.0026129,0.0736129
7,50.2653,0.55102,0.4564,1.08581,0.8634,0,0.95864,0.39971,0.87214,0.77487,0.95864,0.39971,0.88747,0.77783,0.50729,0.52899,2.2816,0.87417,0,0.00299608,0.00299608,0.0689961
8,56.4255,0.56105,0.43543,0.99698,0.87314,0,0.97485,0.33419,0.8259,0.75282,0.97485,0.33419,0.82697,0.72552,0.52116,0.63664,2.3922,0.91239,0,0.00335946,0.00335946,0.0643595
9,62.3408,0.55263,0.47307,0.96365,0.89095,0,0.94249,0.28259,0.84656,0.7217,0.94249,0.28259,0.85448,0.7694,0.69683,0.78176,2.29569,0.94263,0,0.00370304,0.00370304,0.059703
10,68.8425,0.56415,0.50943,0.90139,0.88803,0,0.93638,0.50754,0.88963,0.76228,0.93638,0.50754,0.89228,0.79019,0.52522,0.47352,2.06778,0.89595,0,0.00402682,0.00402682,0.0550268
11,74.6784,0.54933,0.57559,0.85974,0.88521,0,0.91654,0.28404,0.7292,0.62289,0.91654,0.28404,0.70602,0.60173,0.6972,1.29278,2.24113,1.00972,0,0.0043308,0.0043308,0.0503308
12,81.4561,0.59628,0.49257,0.84102,0.89663,0,0.93381,0.14655,0.42518,0.35547,0.93381,0.14655,0.40779,0.35101,1.21887,3.68874,2.60734,1.46421,0,0.00461498,0.00461498,0.045615
13,87.5856,0.61113,0.46029,0.80923,0.89671,0,0.93249,0.11917,0.42877,0.35807,0.93249,0.11917,0.42661,0.3385,1.32147,3.78234,2.60688,1.50655,0,0.00487936,0.00487936,0.0408794
14,94.3211,0.5597,0.45402,0.75914,0.88583,0,1,0.2052,0.33006,0.26404,1,0.20276,0.32309,0.23582,1.46924,3.75629,2.62493,1.64417,0,0.00512394,0.00512394,0.0361239
15,100.121,0.5841,0.45627,0.79101,0.89538,0,0.9042,0.16277,0.41397,0.33123,0.90141,0.15772,0.3438,0.26744,1.44312,4.29328,2.70511,1.69864,0,0.00534872,0.00534872,0.0313487
16,106.873,0.58217,0.45079,0.73904,0.89111,0,0.9176,0.28806,0.47542,0.40213,0.89013,0.27944,0.43353,0.33443,1.18662,3.30183,2.43679,1.51448,0,0.0055537,0.0055537,0.0265537
17,112.795,0.5569,0.4691,0.74459,0.88268,0,0.93185,0.58941,0.70437,0.57617,0.91801,0.57913,0.66728,0.54932,0.86724,1.49519,1.86562,1.12014,0,0.00573888,0.00573888,0.0217389
18,119.629,0.61606,0.4869,0.74352,0.90631,0,0.9253,0.80172,0.85953,0.72322,0.86928,0.75862,0.77964,0.58207,0.64792,1.37212,1.44649,0.90162,0,0.00590426,0.00590426,0.0169043
19,125.271,0.58111,0.45997,0.72463,0.88788,0,0.95555,0.55594,0.72801,0.55483,0.82218,0.47836,0.5748,0.36314,0.91408,2.37858,1.90123,1.17353,0,0.00604984,0.00604984,0.0120498
20,131.927,0.60227,0.5286,0.76815,0.90578,0,0.9485,0.15889,0.35061,0.22419,0.94765,0.15609,0.32135,0.20638,1.40926,5.66771,2.61991,1.67564,0,0.00617562,0.00617562,0.00717562
21,137.727,0.57747,0.48056,0.71233,0.91407,0,0.55812,0.14655,0.19274,0.13023,0.58184,0.13793,0.17803,0.11292,1.42956,5.59116,2.80324,1.70662,0,0.00604,0.00604,0.00604
22,143.979,0.61634,0.41892,0.72316,0.8971,0,0.53399,0.22414,0.29152,0.21472,0.46772,0.22414,0.2765,0.18073,1.1097,4.1642,2.44093,1.40329,0,0.005842,0.005842,0.005842
23,150.186,0.59156,0.47828,0.70126,0.88993,0,0.913,0.76724,0.85706,0.70066,0.90792,0.76505,0.83847,0.67002,0.6526,1.21368,1.31031,0.95444,0,0.005644,0.005644,0.005644
24,156.049,0.60062,0.57958,0.72051,0.9206,0,0.89694,0.73276,0.82076,0.66339,0.89694,0.73276,0.78936,0.63296,0.73905,1.82946,1.21155,0.95185,0,0.005446,0.005446,0.005446
25,162.738,0.58124,0.45598,0.70064,0.90403,0,0.91571,0.81897,0.83712,0.71903,0.89506,0.81897,0.84032,0.7299,0.65634,0.90625,1.18624,0.92673,0,0.005248,0.005248,0.005248
26,168.489,0.60866,0.45346,0.70341,0.91058,0,0.91204,0.80172,0.78804,0.66082,0.90836,0.81034,0.80237,0.69119,0.77026,1.3936,1.32492,0.97508,0,0.00505,0.00505,0.00505
27,175.166,0.5999,0.48276,0.69484,0.91097,0,0.86552,0.60345,0.62087,0.50601,0.89106,0.62069,0.61418,0.52137,0.83277,3.03193,1.63194,1.03334,0,0.004852,0.004852,0.004852
28,181.049,0.55894,0.39927,0.6474,0.89059,0,0.89011,0.81034,0.82295,0.67087,0.89752,0.83049,0.85029,0.71198,0.78582,1.53182,1.09475,0.97735,0,0.004654,0.004654,0.004654
29,187.862,0.55897,0.46157,0.65839,0.90011,0,0.90858,0.68541,0.71601,0.61202,0.90784,0.66379,0.69552,0.51076,0.79451,2.52692,1.33949,1.00407,0,0.004456,0.004456,0.004456
30,193.697,0.54258,0.43431,0.61357,0.89683,0,0.88915,0.8989,0.89092,0.77016,0.87472,0.89655,0.879,0.81224,0.67026,1.22763,0.85874,0.90119,0,0.004258,0.004258,0.004258
31,200.452,0.57638,0.45867,0.65749,0.90207,0,0.94377,0.86816,0.89089,0.77968,0.94388,0.87002,0.90695,0.80885,0.56627,0.73065,0.87721,0.87986,0,0.00406,0.00406,0.00406
32,206.33,0.53641,0.38227,0.60883,0.88681,0,0.8994,0.77076,0.80943,0.66378,0.8868,0.76724,0.80284,0.69352,0.73923,1.02421,1.09878,0.99357,0,0.003862,0.003862,0.003862
33,213.15,0.50317,0.40883,0.58374,0.88098,0,0.93812,0.90517,0.92933,0.8074,0.93812,0.90517,0.9312,0.85426,0.51085,0.45073,0.61329,0.86228,0,0.003664,0.003664,0.003664
34,218.88,0.50689,0.42587,0.58823,0.88547,0,0.92625,0.86622,0.90692,0.76943,0.92625,0.86622,0.90499,0.78866,0.56914,0.75205,0.77842,0.90394,0,0.003466,0.003466,0.003466
35,225.226,0.49384,0.39821,0.55768,0.87394,0,0.87918,0.94828,0.93997,0.83024,0.87119,0.93966,0.93352,0.85766,0.4813,0.4295,0.6294,0.89097,0,0.003268,0.003268,0.003268
36,231.357,0.49497,0.3599,0.54867,0.88173,0,0.92328,0.9569,0.95829,0.84191,0.92328,0.9569,0.95829,0.89223,0.49004,0.35423,0.53951,0.86467,0,0.00307,0.00307,0.00307
37,237.588,0.49529,0.37122,0.56916,0.88022,0,0.92544,0.96307,0.96461,0.86949,0.92544,0.96307,0.96461,0.88413,0.44431,0.40119,0.53816,0.85385,0,0.002872,0.002872,0.002872
38,243.761,0.46529,0.35578,0.53194,0.86932,0,0.93224,0.94883,0.96612,0.88122,0.93224,0.94883,0.96627,0.8976,0.42191,0.38635,0.52128,0.84533,0,0.002674,0.002674,0.002674
39,249.586,0.46021,0.36552,0.51351,0.8611,0,0.93204,0.94578,0.96558,0.8742,0.93204,0.94578,0.96558,0.89596,0.43149,0.33591,0.49714,0.84807,0,0.002476,0.002476,0.002476
40,256.335,0.47531,0.36527,0.53886,0.87088,0,0.91962,0.94828,0.96386,0.86653,0.91962,0.94828,0.96386,0.89204,0.41933,0.30082,0.49702,0.85269,0,0.002278,0.002278,0.002278
41,267.209,0.36426,0.28834,0.55148,0.83425,0,0.93192,0.93966,0.94719,0.86648,0.92291,0.93103,0.94588,0.88533,0.40042,0.29304,0.49328,0.82781,0,0.00208,0.00208,0.00208
42,274.085,0.36862,0.26872,0.5169,0.83121,0,0.94563,0.93966,0.95338,0.87441,0.94563,0.93966,0.95338,0.90216,0.39995,0.28563,0.49452,0.82667,0,0.001882,0.001882,0.001882
43,280.67,0.37247,0.24954,0.50046,0.81996,0,0.94081,0.97414,0.95435,0.87062,0.94081,0.97414,0.95435,0.89756,0.40895,0.27815,0.46822,0.83107,0,0.001684,0.001684,0.001684
44,286.067,0.35295,0.25701,0.48651,0.81678,0,0.93576,0.96552,0.94908,0.87521,0.93576,0.96552,0.94908,0.89161,0.38395,0.2738,0.44183,0.83322,0,0.001486,0.001486,0.001486
45,292.482,0.36248,0.27419,0.48131,0.81817,0,0.93966,0.98276,0.96076,0.88502,0.93966,0.98276,0.96076,0.90364,0.36522,0.27051,0.43999,0.82854,0,0.001288,0.001288,0.001288
46,297.955,0.34504,0.25274,0.47241,0.82474,0,0.94056,0.95483,0.96531,0.90036,0.94056,0.95483,0.96531,0.90901,0.35153,0.26731,0.4246,0.8287,0,0.00109,0.00109,0.00109
47,303.452,0.32124,0.23922,0.44822,0.80581,0,0.95748,0.97071,0.9672,0.90068,0.94898,0.96216,0.96626,0.91495,0.34349,0.25649,0.41995,0.82727,0,0.000892,0.000892,0.000892
48,309.456,0.32801,0.25283,0.45504,0.82284,0,0.95242,0.97414,0.96821,0.90774,0.94109,0.98276,0.96802,0.90407,0.31631,0.25951,0.40224,0.82681,0,0.000694,0.000694,0.000694
